Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
HCL-11	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				HCL-11	FILES/HCL-1101.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
HCL-9	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				HCL-9	FILES/HCL-901.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
HCL-10	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				HCL-10	FILES/HCL-1001.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
HCL-1	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				HCL-1	FILES/HCL-101.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
HCL-12	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				HCL-12	FILES/HCL-1201.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
HCL-13	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				HCL-13	FILES/HCL-1301.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
HCL-17	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				HCL-17	FILES/HCL-1701.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
HCL-3-2	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				HCL-3-2	FILES/HCL-3-201.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
HCL-8	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				HCL-8	FILES/HCL-801.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
HCL-5	Extraction				Chromatography	Waters ACQUITY UPLC I-Class System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase								Mass spectrometry	negative	350-600	XEVO TQ-S mass spectrometer			Xevo TQ-S	MS	http://purl.obolibrary.org/obo/MS_1001792				HCL-5	FILES/HCL-501.CDF	Data transformation			Metabolite identification		m_MTBLS1295_LC-MS_alternating_reverse-phase_metabolite_profiling-1_v2_maf.tsv
