Sample Name	Protocol REF	Parameter Value[Extraction Method]	Extract Name	Protocol REF	Parameter Value[NMR tube type]	Term Source REF	Term Accession Number	Parameter Value[Solvent]	Term Source REF	Term Accession Number	Parameter Value[Sample pH]	Parameter Value[Temperature]	Unit	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[NMR Probe]	Term Source REF	Term Accession Number	Parameter Value[Number of transients]	Parameter Value[Pulse sequence name]	Parameter Value[Magnetic field strength]	Unit	Term Source REF	Term Accession Number	Acquisition Parameter Data File	Protocol REF	NMR Assay Name	Free Induction Decay Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
SNUK IgAN 101	Extraction		SNUK IgAN 101	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus101.txt	NMR assay	SNUK IgAN 101	FILES/RAW_FILES/101.zip	Data transformation	SNUK IgAN 101		Metabolite identification	SNUK IgAN 101	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
SNUK IgAN 102	Extraction		SNUK IgAN 102	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus102.txt	NMR assay	SNUK IgAN 102	FILES/RAW_FILES/102.zip	Data transformation	SNUK IgAN 102		Metabolite identification	SNUK IgAN 102	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
SNUK IgAN 103	Extraction		SNUK IgAN 103	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus103.txt	NMR assay	SNUK IgAN 103	FILES/RAW_FILES/103.zip	Data transformation	SNUK IgAN 103		Metabolite identification	SNUK IgAN 103	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
SNUK IgAN 104	Extraction		SNUK IgAN 104	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus104.txt	NMR assay	SNUK IgAN 104	FILES/RAW_FILES/104.zip	Data transformation	SNUK IgAN 104		Metabolite identification	SNUK IgAN 104	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
SNUK IgAN 105	Extraction		SNUK IgAN 105	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus105.txt	NMR assay	SNUK IgAN 105	FILES/RAW_FILES/105.zip	Data transformation	SNUK IgAN 105		Metabolite identification	SNUK IgAN 105	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
SNUK IgAN 106	Extraction		SNUK IgAN 106	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus106.txt	NMR assay	SNUK IgAN 106	FILES/RAW_FILES/106.zip	Data transformation	SNUK IgAN 106		Metabolite identification	SNUK IgAN 106	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
SNUK IgAN 107	Extraction		SNUK IgAN 107	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus107.txt	NMR assay	SNUK IgAN 107	FILES/RAW_FILES/107.zip	Data transformation	SNUK IgAN 107		Metabolite identification	SNUK IgAN 107	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
SNUK IgAN 108	Extraction		SNUK IgAN 108	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus108.txt	NMR assay	SNUK IgAN 108	FILES/RAW_FILES/108.zip	Data transformation	SNUK IgAN 108		Metabolite identification	SNUK IgAN 108	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
SNUK IgAN 109	Extraction		SNUK IgAN 109	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus109.txt	NMR assay	SNUK IgAN 109	FILES/RAW_FILES/109.zip	Data transformation	SNUK IgAN 109		Metabolite identification	SNUK IgAN 109	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
SNUK IgAN 110	Extraction		SNUK IgAN 110	NMR sample	5 mm standard	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000375	D2O	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000356	7.3-7.7	298	Kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012		hydrogen molecular entity	CHEBI	http://purl.obolibrary.org/obo/CHEBI_33608	NMR spectroscopy	Bruker AVANCE III 800 MHz spectrometer	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000423	5 mm CPTCI 1H-13C/15N/D Z-GRD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000460	128	1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr)	18.8	Tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/RAW_FILES/acqus110.txt	NMR assay	SNUK IgAN 110	FILES/RAW_FILES/110.zip	Data transformation	SNUK IgAN 110		Metabolite identification	SNUK IgAN 110	m_MTBLS6331_NMR___metabolite_profiling_v2_maf.tsv
