Source Name	Characteristics[Variant]0	Term Source REF0	Term Accession Number0	Characteristics[Variant]1	Term Source REF1	Term Accession Number1	Characteristics[Variant]2	Characteristics[Variant]3	Term Source REF2	Term Accession Number2	Protocol REF	Sample Name	Factor Value[Disease]	Term Source REF	Term Accession Number
AN 101	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	experimental sample	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AN 101	Control	NCIT	http://purl.obolibrary.org/obo/NCIT_C61299
AN 102	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	experimental sample	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AN 102	Control	NCIT	http://purl.obolibrary.org/obo/NCIT_C61299
AN 103	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	experimental sample	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AN 103	Control	NCIT	http://purl.obolibrary.org/obo/NCIT_C61299
AN 104	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	experimental sample	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AN 104	Control	NCIT	http://purl.obolibrary.org/obo/NCIT_C61299
AN 105	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	experimental sample	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AN 105	Control	NCIT	http://purl.obolibrary.org/obo/NCIT_C61299
AN 106	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	experimental sample	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AN 106	Control	NCIT	http://purl.obolibrary.org/obo/NCIT_C61299
AN 107	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	experimental sample	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AN 107	Control	NCIT	http://purl.obolibrary.org/obo/NCIT_C61299
AN 108	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	experimental sample	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AN 108	Control	NCIT	http://purl.obolibrary.org/obo/NCIT_C61299
AN 109	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	experimental sample	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AN 109	Control	NCIT	http://purl.obolibrary.org/obo/NCIT_C61299
AN 110	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	experimental sample	experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	AN 110	Control	NCIT	http://purl.obolibrary.org/obo/NCIT_C61299
